"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"burgers","fresh tuna","spaghetti","mineral water","soup","chicken","fromage blanc","spinach","cake","","","","","","","","","","",""
"chocolate","zucchini","","","","","","","","","","","","","","","","","",""
"cookies","","","","","","","","","","","","","","","","","","",""
"chocolate","escalope","","","","","","","","","","","","","","","","","",""
"mineral water","chocolate","milk","vegetables mix","eggs","soda","cooking oil","carrots","frozen smoothie","escalope","","","","","","","","","",""
"fresh tuna","fromage blanc","eggs","honey","frozen smoothie","cookies","cottage cheese","brownies","pancakes","energy drink","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"burgers","mineral water","milk","whole wheat rice","cereals","chocolate","french fries","","","","","","","","","","","","",""
"nonfat milk","gluten free bar","light mayo","babies food","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","milk","butter","cake","","","","","","","","","","","","","","",""
"frozen vegetables","spaghetti","carrots","","","","","","","","","","","","","","","","",""
"chocolate","pepper","spaghetti","mineral water","whole wheat rice","champagne","mushroom cream sauce","","","","","","","","","","","","",""
"frozen vegetables","tomatoes","butter","eggs","cake","bug spray","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","","","","","","","","","","","","","","","","","",""
"red wine","avocado","french fries","frozen smoothie","","","","","","","","","","","","","","","",""
"mineral water","almonds","pancakes","chocolate","french fries","green tea","","","","","","","","","","","","","",""
"mineral water","muffins","","","","","","","","","","","","","","","","","",""
"spaghetti","","","","","","","","","","","","","","","","","","",""
"fresh tuna","shrimp","frozen vegetables","mineral water","milk","olive oil","french fries","","","","","","","","","","","","",""
"milk","cooking oil","low fat yogurt","","","","","","","","","","","","","","","","",""
"blueberries","champagne","","","","","","","","","","","","","","","","","",""
"grated cheese","spinach","rice","zucchini","","","","","","","","","","","","","","","",""
"cake","","","","","","","","","","","","","","","","","","",""
"ground beef","olive oil","salmon","pancakes","eggs","","","","","","","","","","","","","","",""
"red wine","ground beef","spaghetti","mineral water","almonds","","","","","","","","","","","","","","",""
"frozen vegetables","yams","almonds","","","","","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"fresh tuna","eggs","escalope","strawberries","","","","","","","","","","","","","","","",""
"shrimp","frozen vegetables","tomatoes","strawberries","","","","","","","","","","","","","","","",""
"fresh tuna","ground beef","spaghetti","avocado","whole wheat rice","rice","cooking oil","chocolate","frozen smoothie","mushroom cream sauce","","","","","","","","","",""
"pancakes","eggs","","","","","","","","","","","","","","","","","",""
"french wine","toothpaste","","","","","","","","","","","","","","","","","",""
"candy bars","","","","","","","","","","","","","","","","","","",""
"mineral water","","","","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","spaghetti","mineral water","muffins","rice","green beans","french fries","hot dogs","","","","","","","","","","",""
"whole wheat rice","chocolate","energy drink","","","","","","","","","","","","","","","","",""
"burgers","","","","","","","","","","","","","","","","","","",""
"whole wheat pasta","","","","","","","","","","","","","","","","","","",""
"turkey","grated cheese","tomato sauce","spaghetti","chocolate","eggs","","","","","","","","","","","","","",""
"grated cheese","herb & pepper","ground beef","spaghetti","butter","cider","bacon","pancakes","soda","napkins","low fat yogurt","green tea","","","","","","","",""
"burgers","frozen vegetables","tomatoes","corn","antioxydant juice","cookies","","","","","","","","","","","","","",""
"burgers","french wine","eggs","barbecue sauce","cottage cheese","melons","fresh bread","white wine","","","","","","","","","","","",""
"chocolate","mineral water","salmon","whole wheat rice","chicken","clothes accessories","","","","","","","","","","","","","",""
"herb & pepper","whole wheat pasta","ground beef","mineral water","avocado","cider","whole wheat rice","","","","","","","","","","","","",""
"grated cheese","chocolate","soup","salmon","cooking oil","chicken","strawberries","fresh bread","low fat yogurt","","","","","","","","","","",""
"milk","cake","","","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","mineral water","soup","milk","salmon","pancakes","","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"burgers","fresh tuna","parmesan cheese","spaghetti","butter","vegetables mix","spinach","eggs","brownies","pancakes","light mayo","","","","","","","","",""
"whole wheat pasta","mineral water","olive oil","cooking oil","frozen smoothie","green tea","","","","","","","","","","","","","",""
"ham","herb & pepper","ground beef","chocolate","light cream","frozen smoothie","champagne","fresh bread","","","","","","","","","","","",""
"french fries","","","","","","","","","","","","","","","","","","",""
"dessert wine","mineral water","barbecue sauce","green tea","","","","","","","","","","","","","","","",""
"burgers","parmesan cheese","mineral water","melons","","","","","","","","","","","","","","","",""
"mineral water","chocolate","chicken","green tea","","","","","","","","","","","","","","","",""
"parmesan cheese","spaghetti","green grapes","","","","","","","","","","","","","","","","",""
"energy bar","chicken","eggs","light mayo","","","","","","","","","","","","","","","",""
"shrimp","mineral water","meatballs","olive oil","","","","","","","","","","","","","","","",""
"frozen vegetables","milk","green tea","magazines","low fat yogurt","","","","","","","","","","","","","","",""
"ham","spaghetti","honey","low fat yogurt","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","mineral water","honey","green tea","","","","","","","","","","","","","","",""
"parmesan cheese","mineral water","extra dark chocolate","toothpaste","candy bars","","","","","","","","","","","","","","",""
"pickles","spaghetti","cottage cheese","","","","","","","","","","","","","","","","",""
"whole wheat rice","cake","chocolate","","","","","","","","","","","","","","","","",""
"chocolate","","","","","","","","","","","","","","","","","","",""
"mineral water","muffins","french fries","","","","","","","","","","","","","","","","",""
"red wine","honey","hot dogs","","","","","","","","","","","","","","","","",""
"grated cheese","cooking oil","light mayo","","","","","","","","","","","","","","","","",""
"clothes accessories","","","","","","","","","","","","","","","","","","",""
"fresh tuna","mineral water","eggs","","","","","","","","","","","","","","","","",""
"frozen vegetables","mineral water","milk","olive oil","eggs","chocolate","escalope","yogurt cake","","","","","","","","","","","",""
"mineral water","meatballs","","","","","","","","","","","","","","","","","",""
"shrimp","milk","olive oil","french fries","","","","","","","","","","","","","","","",""
"ground beef","","","","","","","","","","","","","","","","","","",""
"pancakes","eggs","champagne","","","","","","","","","","","","","","","","",""
"mineral water","eggs","corn","chocolate","honey","","","","","","","","","","","","","","",""
"grated cheese","cereals","","","","","","","","","","","","","","","","","",""
"frozen vegetables","ground beef","spaghetti","milk","olive oil","eggs","cooking oil","mint green tea","french fries","low fat yogurt","","","","","","","","","",""
"cereals","yogurt cake","mint","","","","","","","","","","","","","","","","",""
"chocolate","fresh bread","","","","","","","","","","","","","","","","","",""
"herb & pepper","shrimp","spaghetti","eggs","","","","","","","","","","","","","","","",""
